docid,section,sentenceid_gold,subject_text_gold,subject_type_gold,object_text_gold,object_type_gold,relation_gold,trigger_text_gold,sub_norm,obj_norm,sentenceid_model,subject_text_model,subject_type_model,object_text_model,object_type_model,relation_model,trigger_text_model,_merge
15808413,abstract,6,plasma,Body Substance,NOx,Biologically Active Substance,LOCATION_OF,in,plasma,nox,,,,,,,,left_only
15818416,title,1,tBid,"Amino Acid, Peptide, or Protein",cardiolipin,Lipid,INTERACTS_WITH,interaction,tbid,cardiolipin,,,,,,,,left_only
15818416,title,1,mitochondrial,Cell Component,dysfunction,Pathologic Function,LOCATION_OF,,mitochondrial,dysfunction,,,,,,,,left_only
15818416,abstract,1,mitochondria,Cell Component,tBid,"Amino Acid, Peptide, or Protein",LOCATION_OF,translocates,mitochondria,tbid,,,,,,,,left_only
15818416,abstract,1,TNFR1,"Amino Acid, Peptide, or Protein",Fas,Gene or Genome,INTERACTS_WITH,engagement,tnfr1,fas,,,,,,,,left_only
15818416,abstract,6,tBid,"Amino Acid, Peptide, or Protein",respiratory,Cell Function,DISRUPTS,inhibition,tbid,respiratory,,,,,,,,left_only
15862965,abstract,4,calcitriol,Hormone,PDGF receptors,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,regulated,calcitriol,pdgf receptors,,,,,,,,left_only
15862965,abstract,4,calcitriol,Hormone,cell growth,Cell Function,AFFECTS,regulated,calcitriol,cell growth,,,,,,,,left_only
15862965,abstract,4,PDGF-BB,"Amino Acid, Peptide, or Protein",cell growth,Cell Function,AFFECTS,mediated,pdgf-bb,cell growth,,,,,,,,left_only
15866565,abstract,14,GnRH agonists,Pharmacologic Substance,primordial follicles,Embryonic Structure,AFFECTS,reduce chemotherapeutic destruction,gnrh agonists,primordial follicles,,,,,,,,left_only
15866565,abstract,14,cyclophosphamide,Pharmacologic Substance,ovary,"Body Part, Organ, or Organ Component",DISRUPTS,damaging effects,cyclophosphamide,ovary,,,,,,,,left_only
15866565,abstract,14,GnRH agonists,Pharmacologic Substance,ovary,"Body Part, Organ, or Organ Component",AFFECTS,protect,gnrh agonists,ovary,,,,,,,,left_only
15872117,abstract,10,NF-kappaB,"Amino Acid, Peptide, or Protein",DNA,Biologically Active Substance,INTERACTS_WITH,interaction,nf-kappab,dna,,,,,,,,left_only
15872117,abstract,11,compounds,Chemical,p50,Gene or Genome,INTERACTS_WITH,interacts,compounds,p50,,,,,,,,left_only
15872117,abstract,11,compounds,Chemical,transcription factor,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,modulates,compounds,transcription factor,,,,,,,,left_only
15872117,abstract,11,compounds,Chemical,p65,Biologically Active Substance,INTERACTS_WITH,interacts,compounds,p65,,,,,,,,left_only
15877828,abstract,2,non-obese,Disease or Syndrome,patients,Human,PROCESS_OF,,non-obese,patients,,,,,,,,left_only
15877828,abstract,11,pelvic stones,Disease or Syndrome,patients,Human,PROCESS_OF,with,pelvic stones,patients,,,,,,,,left_only
15877828,abstract,14,pelvic stones,Disease or Syndrome,patients,Human,PROCESS_OF,with,pelvic stones,patients,,,,,,,,left_only
15885340,abstract,2,neck,Body Location or Region,tumor,Neoplastic Process,LOCATION_OF,of,neck,tumor,,,,,,,,left_only
15885340,abstract,2,tumor,Neoplastic Process,girl,Human,PROCESS_OF,presenting,tumor,girl,,,,,,,,left_only
15885340,abstract,2,tumor,Neoplastic Process,calcification,Pathologic Function,COEXISTS_WITH,with,tumor,calcification,,,,,,,,left_only
15896365,abstract,1,Apyrase,"Amino Acid, Peptide, or Protein",nucleosides,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH,hydrolyze,apyrase,nucleosides,,,,,,,,left_only
15898907,title,1,Laparoscopic surgery,Therapeutic or Preventive Procedure,obstruction of the gastric outlet,Disease or Syndrome,TREATS,management,laparoscopic surgery,obstruction of the gastric outlet,,,,,,,,left_only
15898907,title,1,Laparoscopic surgery,Therapeutic or Preventive Procedure,small bowel,Disease or Syndrome,TREATS,management,laparoscopic surgery,small bowel,,,,,,,,left_only
15898907,title,1,laparotomy,Therapeutic or Preventive Procedure,palliation,Finding,TREATS,for,laparotomy,palliation,,,,,,,,left_only
15898907,abstract,1,bypass surgery,Therapeutic or Preventive Procedure,malignancy,Neoplastic Process,TREATS,for,bypass surgery,malignancy,,,,,,,,left_only
15898907,abstract,1,bypass surgery,Therapeutic or Preventive Procedure,patients,Human,ADMINISTERED_TO,undergone,bypass surgery,patients,,,,,,,,left_only
15898907,abstract,1,resection,Therapeutic or Preventive Procedure,patients,Human,ADMINISTERED_TO,undergone,resection,patients,,,,,,,,left_only
15912426,title,1,2-deoxy-2-[F-18]fluoro-D-glucose,Diagnostic Procedure,gamma camera imaging,"Indicator, Reagent, or Diagnostic Aid",USES,,2-deoxy-2-f-18fluoro-d-glucose,camera imaging,,,,,,,,left_only
15912426,title,1,follow-up,Health Care Activity,gamma camera imaging,Diagnostic Procedure,USES,with,follow-up,camera imaging,,,,,,,,left_only
15912426,abstract,2,injection,Therapeutic or Preventive Procedure,FDG,Organic Chemical,USES,,injection,fdg,,,,,,,,left_only
15912426,abstract,2,osteosarcoma,Neoplastic Process,tumor,Neoplastic Process,ISA,(,osteosarcoma,tumor,,,,,,,,left_only
15912426,abstract,2,melanoma,Neoplastic Process,tumor,Neoplastic Process,ISA,(,melanoma,tumor,,,,,,,,left_only
15912426,abstract,2,breast cancer,Neoplastic Process,tumor,Neoplastic Process,ISA,(,breast cancer,tumor,,,,,,,,left_only
15913690,abstract,4,Histological evaluation,Laboratory Procedure,dermal hemorrhage,Disease or Syndrome,DIAGNOSES,revealed,histological evaluation,dermal hemorrhage,,,,,,,,left_only
15919667,abstract,3,UDP-Glc,Biologically Active Substance,proteoglycans,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,synthesis,udp-glc,proteoglycans,,,,,,,,left_only
15919667,abstract,3,UDP-Glc,Biologically Active Substance,glycoproteins,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,synthesis,udp-glc,glycoproteins,,,,,,,,left_only
15919667,abstract,3,UDP-Glc,Biologically Active Substance,glycosphingolipids,Lipid,INTERACTS_WITH,synthesis,udp-glc,glycosphingolipids,,,,,,,,left_only
15919667,abstract,3,gly-coconjugates,Carbohydrate,PLC,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,role,gly-coconjugates,plc,,,,,,,,left_only
15919667,abstract,4,PLC,"Amino Acid, Peptide, or Protein",Cp,Bacterium,PART_OF,,plc,cp,,,,,,,,left_only
15919667,abstract,4,Cp-PLC,"Amino Acid, Peptide, or Protein",cell line,Cell,AFFECTS,hypersensitive,cp-plc,cell line,,,,,,,,left_only
15919667,abstract,4,gangliosides,Biologically Active Substance,cell line,Cell,PART_OF,deficient,gangliosides,cell line,,,,,,,,left_only
15919667,abstract,6,C. perfringens,Bacterium,sialidase,"Amino Acid, Peptide, or Protein",LOCATION_OF,,c. perfringens,sialidase,,,,,,,,left_only
15919667,abstract,6,C. perfringens,Bacterium,sialidase,"Amino Acid, Peptide, or Protein",LOCATION_OF,,c. perfringens,sialidase,,,,,,,,left_only
15919667,abstract,6,sialidase,"Amino Acid, Peptide, or Protein",sialic acids,Carbohydrate,INHIBITS,Removal,sialidase,sialic acids,,,,,,,,left_only
15919667,abstract,6,PLC,"Amino Acid, Peptide, or Protein",cultured cells,Cell,AFFECTS,sensitivity,plc,cultured cells,,,,,,,,left_only
15919667,abstract,6,sialidase,"Amino Acid, Peptide, or Protein",cultured cells,Cell,AFFECTS,sensitivity,sialidase,cultured cells,,,,,,,,left_only
15919667,abstract,6,Cp,Bacterium,PLC,"Amino Acid, Peptide, or Protein",LOCATION_OF,,cp,plc,,,,,,,,left_only
15919667,abstract,6,Cp,Bacterium,PLC,"Amino Acid, Peptide, or Protein",LOCATION_OF,,cp,plc,,,,,,,,left_only
15919667,abstract,6,mice,Mammal,PLC,"Amino Acid, Peptide, or Protein",LOCATION_OF,in,mice,plc,,,,,,,,left_only
15919838,abstract,3,serum,Body Substance,VAP-1,"Amino Acid, Peptide, or Protein",LOCATION_OF,,serum,vap-1,,,,,,,,left_only
15919838,abstract,3,obese,Disease or Syndrome,subjects,Human,PROCESS_OF,,obese,subjects,,,,,,,,left_only
15919838,abstract,3,VAP-1,"Amino Acid, Peptide, or Protein",subjects,Human,PART_OF,in,vap-1,subjects,,,,,,,,left_only
15925552,title,1,plasma,Body Substance,quercetin,Organic Chemical,LOCATION_OF,in,plasma,quercetin,,,,,,,,left_only
15925552,title,1,urine,Body Substance,quercetin,Organic Chemical,LOCATION_OF,in,urine,quercetin,,,,,,,,left_only
15925552,title,1,plasma,Body Substance,metabolites,Biologically Active Substance,LOCATION_OF,in,plasma,metabolites,,,,,,,,left_only
15925552,title,1,urine,Body Substance,metabolites,Biologically Active Substance,LOCATION_OF,in,urine,metabolites,,,,,,,,left_only
15925552,title,1,plasma,Body Substance,human,Human,PART_OF,,plasma,human,,,,,,,,left_only
15925552,title,1,urine,Body Substance,human,Human,PART_OF,,urine,human,,,,,,,,left_only
15927218,abstract,2,ELISA,Laboratory Procedure,cysticercosis,Disease or Syndrome,DIAGNOSES,detect,elisa,cysticercosis,,,,,,,,left_only
15927218,abstract,2,immunoblotting,Laboratory Procedure,cysticercosis,Disease or Syndrome,DIAGNOSES,detect,immunoblotting,cysticercosis,,,,,,,,left_only
15927218,abstract,2,isoelectric focusing,Laboratory Procedure,immunoblotting,Laboratory Procedure,METHOD_OF,by,isoelectric focusing,immunoblotting,,,,,,,,left_only
15927218,abstract,2,isoelectric focusing,Laboratory Procedure,ELISA,Laboratory Procedure,METHOD_OF,by,isoelectric focusing,elisa,,,,,,,,left_only
15927218,abstract,3,City Hospital,Health Care Related Organization,inpatients,Human,LOCATION_OF,at,city hospital,inpatients,,,,,,,,left_only
15927218,abstract,3,City Hospital,Health Care Related Organization,outpatients,Patient or Disabled Group,LOCATION_OF,at,city hospital,outpatients,,,,,,,,left_only
15927218,abstract,3,Inner Mongolia,Geographic Area,residents,Population Group,LOCATION_OF,of,inner mongolia,residents,,,,,,,,left_only
15943571,abstract,1,HIV-1,Virus,viremia,Disease or Syndrome,CAUSES,,hiv-1,viremia,,,,,,,,left_only
15943571,abstract,1,T cell immunity,Organism Function,viremia,Disease or Syndrome,AFFECTS,role,t cell immunity,viremia,,,,,,,,left_only
15943571,abstract,1,poxvirus,Virus,T cell immunity,Organism Function,AUGMENTS,induce,poxvirus,t cell immunity,,,,,,,,left_only
15943571,abstract,1,T cell immunity,Organism Function,primates,Mammal,PROCESS_OF,in,t cell immunity,primates,,,,,,,,left_only
15943571,abstract,1,genes,Gene or Genome,HIV-1,Virus,PART_OF,,genes,hiv-1,,,,,,,,left_only
15943571,abstract,1,genes,Gene or Genome,DNA,Biologically Active Substance,PART_OF,within,genes,dna,,,,,,,,left_only
15943707,abstract,2,donors,Pharmacologic Substance,dexamethasone,Human,ADMINISTERED_TO,using,donors,dexamethasone,,,,,,,,left_only
15943707,abstract,2,rHuG-CSF,Pharmacologic Substance,donors,Human,ADMINISTERED_TO,using,rhug-csf,donors,,,,,,,,left_only
15946936,title,1,tetraspanins,"Amino Acid, Peptide, or Protein",cell surface,Cell Component,PART_OF,expression,tetraspanins,cell surface,,,,,,,,left_only
15946936,title,1,integrin,"Amino Acid, Peptide, or Protein",cell survival,Cell Function,AFFECTS,mediated,integrin,cell survival,,,,,,,,left_only
15946936,title,1,BAP31,Gene or Genome,cell survival,Cell Function,AFFECTS,regulate,bap31,cell survival,,,,,,,,left_only
15946936,title,1,caspase cleavage product,"Amino Acid, Peptide, or Protein",cell survival,Cell Function,AFFECTS,regulate,caspase cleavage product,cell survival,,,,,,,,left_only
15946936,title,1,caspase cleavage product,"Amino Acid, Peptide, or Protein",tetraspanins,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,regulate,caspase cleavage product,tetraspanins,,,,,,,,left_only
15946936,abstract,2,tetraspanins,"Amino Acid, Peptide, or Protein",cell surface,Cell Component,PART_OF,expression,tetraspanins,cell surface,,,,,,,,left_only
15946936,abstract,2,tetraspanins,"Amino Acid, Peptide, or Protein",CD9,"Amino Acid, Peptide, or Protein",ISA,,tetraspanins,cd9,,,,,,,,left_only
15946936,abstract,2,tetraspanins,"Amino Acid, Peptide, or Protein",CD81,"Amino Acid, Peptide, or Protein",ISA,,tetraspanins,cd81,,,,,,,,left_only
15946936,abstract,2,cells,Cell,Bap31 gene,Gene or Genome,LOCATION_OF,from,cells,bap31 gene,,,,,,,,left_only
15948171,abstract,2,predictive genetic testing,Diagnostic Procedure,hereditary nonpolyposis colorectal carcinoma (HNPCC),Neoplastic Process,DIAGNOSES,for,predictive genetic testing,hereditary nonpolyposis colorectal carcinoma hnpcc,,,,,,,,left_only
15948171,abstract,2,hereditary nonpolyposis colorectal carcinoma (HNPCC),Neoplastic Process,cohort,Human,PROCESS_OF,in,hereditary nonpolyposis colorectal carcinoma hnpcc,cohort,,,,,,,,left_only
15948171,abstract,2,predictive genetic testing,Diagnostic Procedure,screening,Health Care Activity,PRECEDES,after,predictive genetic testing,screening,,,,,,,,left_only
15953327,abstract,13,Infective endocarditis,Disease or Syndrome,illness,Finding,ISA,is,infective endocarditis,illness,,,,,,,,left_only
15953327,abstract,13,illness,Finding,children,Human,PROCESS_OF,in,illness,children,,,,,,,,left_only
15953529,title,1,cell-cell junctions,Body Space or Junction,mouse vestibular epithelia,Body Substance,PART_OF,in,cell-cell junctions,mouse vestibular epithelia,,,,,,,,left_only
15953529,abstract,7,vestibular,"Body Part, Organ, or Organ Component",mammalian,Mammal,PART_OF,,vestibular,mammalian,,,,,,,,left_only
15953529,abstract,7,epithelia,Tissue,cell proliferations,Cell Function,LOCATION_OF,in,epithelia,cell proliferations,,,,,,,,left_only
15958124,abstract,1,Guillain-Barre syndrome,Disease or Syndrome,immune-mediated disorders,Disease or Syndrome,ISA,are,guillain-barre syndrome,immune-mediated disorders,,,,,,,,left_only
15958124,abstract,2,Infections,Disease or Syndrome,CIDP,Disease or Syndrome,AUGMENTS,exacerbate,infections,cidp,,,,,,,,left_only
15969273,abstract,4,performance,Individual Behavior,mothers,Human,PROCESS_OF,of,performance,mothers,,,,,,,,left_only
15974085,abstract,3,hexylamine,Organic Chemical,amines,Organic Chemical,ISA,",",hexylamine,amines,,,,,,,,left_only
15974085,abstract,3,octylamine,Organic Chemical,amines,Organic Chemical,ISA,",",octylamine,amines,,,,,,,,left_only
15975940,abstract,6,Chordin,"Amino Acid, Peptide, or Protein",signaling molecules,Biologically Active Substance,ISA,such as,chordin,signaling molecules,,,,,,,,left_only
15975940,abstract,6,Noggin,Gene or Genome,signaling molecules,Biologically Active Substance,ISA,such as,noggin,signaling molecules,,,,,,,,left_only
15975940,abstract,6,Xnr6,"Amino Acid, Peptide, or Protein",signaling molecules,Biologically Active Substance,ISA,such as,xnr6,signaling molecules,,,,,,,,left_only
15975940,abstract,6,Cerberus,"Amino Acid, Peptide, or Protein",signaling molecules,Biologically Active Substance,ISA,such as,cerberus,signaling molecules,,,,,,,,left_only
15988072,abstract,5,antibiotic prophylaxis,Therapeutic or Preventive Procedure,infection,Disease or Syndrome,PREVENTS,decrease,antibiotic prophylaxis,infection,,,,,,,,left_only
15993885,abstract,7,CRP,"Amino Acid, Peptide, or Protein",acute-phase proteins,"Amino Acid, Peptide, or Protein",ISA,(,crp,acute-phase proteins,,,,,,,,left_only
15993885,abstract,7,SAA,"Amino Acid, Peptide, or Protein",acute-phase proteins,"Amino Acid, Peptide, or Protein",ISA,(,saa,acute-phase proteins,,,,,,,,left_only
15993885,abstract,7,FIB,"Amino Acid, Peptide, or Protein",acute-phase proteins,"Amino Acid, Peptide, or Protein",ISA,(,fib,acute-phase proteins,,,,,,,,left_only
15993962,abstract,1,SES,Therapeutic or Preventive Procedure,implantation,Pharmacologic Substance,USES,,ses,implantation,,,,,,,,left_only
15993962,abstract,6,cardiac event,Disease or Syndrome,patients,Human,PROCESS_OF,in,cardiac event,patients,,,,,,,,left_only
15993962,abstract,6,dialysis status,Finding,cardiac event,Disease or Syndrome,AFFECTS,associated,dialysis status,cardiac event,,,,,,,,left_only
15993962,abstract,6,ejection fraction,Finding,cardiac event,Disease or Syndrome,AFFECTS,associated,ejection fraction,cardiac event,,,,,,,,left_only
15993962,abstract,6,revascularization,Therapeutic or Preventive Procedure,cardiac event,Disease or Syndrome,AFFECTS,associated,revascularization,cardiac event,,,,,,,,left_only
15993962,abstract,6,revascularization,Therapeutic or Preventive Procedure,SES,Pharmacologic Substance,USES,without,revascularization,ses,,,,,,,,left_only
15993989,abstract,14,mice,Mammal,Sera,Body Substance,LOCATION_OF,of,mice,sera,,,,,,,,left_only
15996060,abstract,2,women,Disease or Syndrome,RA,Human,PROCESS_OF,with,women,ra,,,,,,,,left_only
15996060,abstract,7,patients,Human,DHEAS,Steroid,LOCATION_OF,in,patients,dheas,,,,,,,,left_only
15996060,abstract,7,patients,Human,DHEAS,Steroid,LOCATION_OF,in,patients,dheas,,,,,,,,left_only
15996060,abstract,7,patients,Human,free testosterone,Steroid,LOCATION_OF,in,patients,free testosterone,,,,,,,,left_only
15996060,abstract,7,patients,Human,free testosterone,Steroid,LOCATION_OF,in,patients,free testosterone,,,,,,,,left_only
15996060,abstract,10,anti-TNF,"Amino Acid, Peptide, or Protein",sex hormones,Hormone,INTERACTS_WITH,change,anti-tnf,sex hormones,,,,,,,,left_only
15998787,abstract,3,allergen,Immunologic Factor,inflammation,Pathologic Function,CAUSES,driven,allergen,inflammation,,,,,,,,left_only
15998787,abstract,3,airway,"Body Part, Organ, or Organ Component",inflammation,Pathologic Function,LOCATION_OF,,airway,inflammation,,,,,,,,left_only
15998787,abstract,3,Nrf2,Gene or Genome,inflammation,Pathologic Function,AFFECTS,leads,nrf2,inflammation,,,,,,,,left_only
15998787,abstract,4,asthmatic,Disease or Syndrome,mice,Mammal,PROCESS_OF,in,asthmatic,mice,,,,,,,,left_only
15998787,abstract,4,response,Clinical Attribute,mice,Mammal,PROCESS_OF,in,response,mice,,,,,,,,left_only
15998787,abstract,4,lungs,"Body Part, Organ, or Organ Component",infiltration of eosinophils,Pathologic Function,LOCATION_OF,into,lungs,infiltration of eosinophils,,,,,,,,left_only
