docid,section,sentenceid,subject_text,subject_type,object_text,object_type,relation
15601558,abstract,6,brain,"Body Part, Organ, or Organ Component",single brain lesion,Finding,LOCATION_OF
15601558,abstract,6,Patients,Finding,single brain lesion,Human,PROCESS_OF
15601558,abstract,6,radiotherapy,Therapeutic or Preventive Procedure,Patients,Human,ADMINISTERED_TO
15601558,abstract,6,brain,"Body Part, Organ, or Organ Component",lesion,Finding,LOCATION_OF
15601558,abstract,6,WBRT,Therapeutic or Preventive Procedure,radiotherapy,Therapeutic or Preventive Procedure,PRECEDES
15601558,abstract,8,sequential treatments,Therapeutic or Preventive Procedure,neurological symptoms,Sign or Symptom,TREATS
15601558,abstract,8,neurological symptoms,Sign or Symptom,patients,Human,PROCESS_OF
15601558,abstract,13,Myelosuppression,Disease or Syndrome,toxicity,Injury or Poisoning,ISA
15601558,abstract,16,sequential treatments,Therapeutic or Preventive Procedure,patients,Human,TREATS
15601558,abstract,16,SCLC,Neoplastic Process,patients,Human,PROCESS_OF
15601558,abstract,16,brain metastases,Neoplastic Process,patients,Human,PROCESS_OF
15601558,abstract,16,brain metastases,Neoplastic Process,SCLC,Neoplastic Process,COEXISTS_WITH
15601558,abstract,16,sequential treatment,Therapeutic or Preventive Procedure,SCLC,Neoplastic Process,TREATS
15601558,abstract,16,sequential treatment,Therapeutic or Preventive Procedure,brain metastases,Neoplastic Process,TREATS
15601558,abstract,16,sequential treatment,Therapeutic or Preventive Procedure,neurological symptoms,Sign or Symptom,TREATS
15601558,abstract,16,sequential treatment,Therapeutic or Preventive Procedure,metastatic lesions,Finding,TREATS
15623373,abstract,2,Primary HCC,Neoplastic Process,patients,Human,PROCESS_OF
15623373,abstract,2,resection,Therapeutic or Preventive Procedure,patients,Human,TREATS
15623373,abstract,2,resection,Therapeutic or Preventive Procedure,Primary HCC,Neoplastic Process,TREATS
15623373,abstract,10,tissues,Tissue,cancer,Neoplastic Process,LOCATION_OF
15623373,abstract,10,tissues,Tissue,MMP-2,"Amino Acid, Peptide, or Protein",PRODUCES
15623373,abstract,10,tissues,Tissue,Ki-67,"Amino Acid, Peptide, or Protein",PRODUCES
15623373,abstract,10,tissues,Tissue,VEGF,"Amino Acid, Peptide, or Protein",PRODUCES
15623373,abstract,10,tissues,Tissue,c-Myc,"Amino Acid, Peptide, or Protein",PRODUCES
15623373,abstract,10,VEGF,"Amino Acid, Peptide, or Protein",tissues,Tissue,PART_OF
15623373,abstract,10,resection,Therapeutic or Preventive Procedure,tumor,Neoplastic Process,TREATS
15623373,abstract,10,resection,Therapeutic or Preventive Procedure,HCC,Neoplastic Process,PRECEDES
15623373,abstract,10,HCC,Neoplastic Process,their,Human,PROCESS_OF
15634358,title,1,genetics,Biologic Function,Caenorhabditis briggsae,Invertebrate,PROCESS_OF
15676161,abstract,2,Asymptomatic,Finding,patients,Human,PROCESS_OF
15676161,abstract,3,chest pain,Sign or Symptom,patients,Human,PROCESS_OF
15722357,abstract,3,bezafibrate,Pharmacologic Substance,I-FABP,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15722357,abstract,3,ibuprofen,Pharmacologic Substance,I-FABP,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15722357,abstract,3,nitrazepam,Pharmacologic Substance,I-FABP,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15722357,abstract,3,bezafibrate,Pharmacologic Substance,drugs,Pharmacologic Substance,ISA
15722357,abstract,3,ibuprofen,Pharmacologic Substance,drugs,Pharmacologic Substance,ISA
15722357,abstract,3,nitrazepam,Pharmacologic Substance,drugs,Pharmacologic Substance,ISA
15750263,abstract,1,FK-739,Organic Chemical,angiotensin II type 1 (AT1) receptor antagonist,Pharmacologic Substance,ISA
15750263,abstract,1,enalapril,Pharmacologic Substance,angiotensin-converting enzyme (ACE) inhibitor,Pharmacologic Substance,ISA
15750263,abstract,1,FK-739,Organic Chemical,enalapril,Pharmacologic Substance,COMPARED_WITH
15750263,abstract,1,arteries,"Body Part, Organ, or Organ Component",Wistar-Kyoto rats,Mammal,PART_OF
15750263,abstract,1,arteries,"Body Part, Organ, or Organ Component",spontaneously hypertensive rats,Mammal,PART_OF
15750263,abstract,1,arteries,"Body Part, Organ, or Organ Component",smooth muscle (SM) cell,Cell,LOCATION_OF
15750263,abstract,1,enalapril,Pharmacologic Substance,smooth muscle (SM) cell,Cell,AFFECTS
15750263,abstract,1,FK-739,Organic Chemical,smooth muscle (SM) cell,Cell,AFFECTS
15750284,abstract,5,GH,"Amino Acid, Peptide, or Protein",B-lymphoid precursors,Cell,AFFECTS
15750284,abstract,5,bone marrow stem cells,Cell,B-lymphoid precursors,Cell,LOCATION_OF
15750284,abstract,6,stem cells,Cell,mRNAs,Biologically Active Substance,LOCATION_OF
15750284,abstract,6,mRNAs,Biologically Active Substance,GH,"Amino Acid, Peptide, or Protein",PART_OF
15750284,abstract,6,mRNAs,Biologically Active Substance,GH receptor,"Amino Acid, Peptide, or Protein",PART_OF
15750284,abstract,6,stem cells,Cell,mRNAs,Biologically Active Substance,LOCATION_OF
15750284,abstract,6,B-cell precursors,Cell,bone marrow,"Body Part, Organ, or Organ Component",PART_OF
15750284,abstract,6,stem cells,Cell,bone marrow,"Body Part, Organ, or Organ Component",PART_OF
15750284,abstract,6,GH,"Amino Acid, Peptide, or Protein",B-lymphoid precursors,Cell,AFFECTS
15750284,abstract,6,bone marrows,"Body Part, Organ, or Organ Component",B-lymphoid precursors,Cell,LOCATION_OF
15763007,title,1,azoospermic,Disease or Syndrome,patients,Human,PROCESS_OF
15765262,title,1,Nicotine,Organic Chemical,conditioned place preferences,Mental Process,AUGMENTS
15765262,title,1,conditioned place preferences,Mental Process,rats,Mammal,PROCESS_OF
15776283,abstract,2,muscle,Tissue,IFN-gamma,"Amino Acid, Peptide, or Protein",LOCATION_OF
15776283,abstract,2,IFN-gamma,"Amino Acid, Peptide, or Protein",tumor,Neoplastic Process,PREDISPOSES
15776283,abstract,2,hepatoma,Neoplastic Process,tumor,Neoplastic Process,ISA
15776283,abstract,2,mammary adenocarcinoma,Neoplastic Process,tumor,Neoplastic Process,ISA
15776283,abstract,2,B16 melanoma,Neoplastic Process,tumor,Neoplastic Process,ISA
15776283,abstract,2,IFN-gamma,"Amino Acid, Peptide, or Protein",hepatoma,Neoplastic Process,PREDISPOSES
15776283,abstract,2,IFN-gamma,"Amino Acid, Peptide, or Protein",mammary adenocarcinoma,Neoplastic Process,PREDISPOSES
15776283,abstract,2,IFN-gamma,"Amino Acid, Peptide, or Protein",B16 melanoma,Neoplastic Process,PREDISPOSES
15790407,abstract,9,antibiotics,Antibiotic,interventions,Health Care Activity,ISA
15790407,abstract,9,steroids,Steroid,interventions,Health Care Activity,ISA
15790407,abstract,9,administration,Therapeutic or Preventive Procedure,interventions,Health Care Activity,ISA
15790407,abstract,9,therapies,Therapeutic or Preventive Procedure,intervention,Health Care Activity,ISA
15790407,abstract,9,therapies,Therapeutic or Preventive Procedure,mucolytic,Pharmacologic Substance,USES
15790407,abstract,9,exercise,Daily or Recreational Activity,interventions,Health Care Activity,ISA
15790407,abstract,9,antibiotics,Antibiotic,interventions,Health Care Activity,ISA
15790407,abstract,9,pancreatic enzymes,Pharmacologic Substance,interventions,Health Care Activity,ISA
15797093,abstract,1,right atrium,"Body Part, Organ, or Organ Component",infant,Human,PART_OF
15797093,abstract,1,right atrium,"Body Part, Organ, or Organ Component",epithelioid hemangioendothelioma,Neoplastic Process,LOCATION_OF
15808413,abstract,5,plasma,Body Substance,nitrate,Inorganic Chemical,LOCATION_OF
15808413,abstract,5,nitrite,Chemical Viewed Structurally,nitrate,Inorganic Chemical,CONVERTS_TO
15808413,abstract,6,plasma,Body Substance,NOx,Biologically Active Substance,LOCATION_OF
15818416,title,1,tBid,"Amino Acid, Peptide, or Protein",cardiolipin,Lipid,INTERACTS_WITH
15818416,title,1,mitochondrial,Cell Component,dysfunction,Pathologic Function,LOCATION_OF
15818416,abstract,1,mitochondria,Cell Component,tBid,"Amino Acid, Peptide, or Protein",LOCATION_OF
15818416,abstract,1,Bid,"Amino Acid, Peptide, or Protein",cytosolic,Cell Component,PART_OF
15818416,abstract,1,TNFR1,"Amino Acid, Peptide, or Protein",Fas,Gene or Genome,INTERACTS_WITH
15818416,abstract,6,mitochondria,Cell Component,yeast,Fungus,PART_OF
15818416,abstract,6,cardiolipin,Lipid,tBid,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15818416,abstract,6,tBid,"Amino Acid, Peptide, or Protein",respiratory,Cell Function,DISRUPTS
15818416,abstract,7,mitochondria,Cell Component,yeast,Fungus,PART_OF
15818416,abstract,7,ADP,Biologically Active Substance,respiration,Physiologic Function,AUGMENTS
15862965,abstract,4,calcitriol,Hormone,PDGF receptors,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15862965,abstract,4,calcitriol,Hormone,cell growth,Cell Function,AFFECTS
15862965,abstract,4,PDGF-BB,"Amino Acid, Peptide, or Protein",cell growth,Cell Function,AFFECTS
15862965,abstract,4,cells,Cell,prostate,"Body Part, Organ, or Organ Component",PART_OF
15862965,abstract,4,cells,Cell,calcitriol,Steroid,LOCATION_OF
15866565,abstract,14,chemotherapeutic,Therapeutic or Preventive Procedure,primordial follicles,Embryonic Structure,DISRUPTS
15866565,abstract,14,GnRH agonists,Pharmacologic Substance,primordial follicles,Embryonic Structure,AFFECTS
15866565,abstract,14,cyclophosphamide,Pharmacologic Substance,ovary,"Body Part, Organ, or Organ Component",DISRUPTS
15866565,abstract,14,GnRH agonists,Pharmacologic Substance,ovary,"Body Part, Organ, or Organ Component",AFFECTS
15872117,abstract,10,NF-kappaB,"Amino Acid, Peptide, or Protein",DNA,Biologically Active Substance,INTERACTS_WITH
15872117,abstract,11,compounds,Chemical,p50,Gene or Genome,INTERACTS_WITH
15872117,abstract,11,compounds,Chemical,transcription factor,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15872117,abstract,11,compounds,Chemical,p65,Biologically Active Substance,INTERACTS_WITH
15877828,title,1,Extracorporeal shock wave lithotripsy,Therapeutic or Preventive Procedure,renal pelvicalyceal stones,Pathologic Function,TREATS
15877828,title,1,renal pelvicalyceal stones,Pathologic Function,patients,Human,PROCESS_OF
15877828,title,1,obese,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,title,1,renal pelvicalyceal stones,Pathologic Function,obese,Disease or Syndrome,COEXISTS_WITH
15877828,abstract,2,obese,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,abstract,2,non-obese,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,abstract,11,pelvic stones,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,abstract,11,treatment,Therapeutic or Preventive Procedure,patients,Human,TREATS
15877828,abstract,11,treatment,Therapeutic or Preventive Procedure,pelvic stones,Disease or Syndrome,TREATS
15877828,abstract,14,obese,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,abstract,14,pelvic stones,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,abstract,14,ESWL,Therapeutic or Preventive Procedure,patients,Human,TREATS
15877828,abstract,14,ESWL,Therapeutic or Preventive Procedure,pelvic stones,Disease or Syndrome,TREATS
15877828,abstract,17,ESWL,Therapeutic or Preventive Procedure,patients,Human,TREATS
15877828,abstract,17,obese,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,abstract,17,caliceal stones,Disease or Syndrome,patients,Human,PROCESS_OF
15877828,abstract,17,ESWL,Therapeutic or Preventive Procedure,caliceal stones,Disease or Syndrome,TREATS
15885340,abstract,2,neck,Body Location or Region,tumor,Neoplastic Process,LOCATION_OF
15885340,abstract,2,tumor,Neoplastic Process,girl,Human,PROCESS_OF
15885340,abstract,2,tumor,Neoplastic Process,calcification,Pathologic Function,COEXISTS_WITH
15896365,abstract,1,Apyrase,"Amino Acid, Peptide, or Protein",nucleosides,"Nucleic Acid, Nucleoside, or Nucleotide",INTERACTS_WITH
15896365,abstract,1,ATP-diphosphohydrolase,"Amino Acid, Peptide, or Protein",ion,"Element, Ion, or Isotope",COEXISTS_WITH
15896365,abstract,8,nucleotide,"Nucleic Acid, Nucleoside, or Nucleotide",inactivation,Cell or Molecular Dysfunction,CAUSES
15896365,abstract,8,potato,Plant,apyrase,"Amino Acid, Peptide, or Protein",LOCATION_OF
15898907,title,1,Laparoscopic surgery,Therapeutic or Preventive Procedure,obstruction of the gastric outlet,Disease or Syndrome,TREATS
15898907,title,1,Laparoscopic surgery,Therapeutic or Preventive Procedure,small bowel,Disease or Syndrome,TREATS
15898907,title,1,laparotomy,Therapeutic or Preventive Procedure,Laparoscopic surgery,Therapeutic or Preventive Procedure,PRECEDES
15898907,title,1,laparotomy,Therapeutic or Preventive Procedure,palliation,Finding,TREATS
15898907,title,1,upper gastrointestinal,Body System,resection,Therapeutic or Preventive Procedure,LOCATION_OF
15898907,title,1,laparotomy,Therapeutic or Preventive Procedure,resection,Therapeutic or Preventive Procedure,METHOD_OF
15898907,abstract,1,Surgical,Therapeutic or Preventive Procedure,gastric outlet obstruction,Disease or Syndrome,TREATS
15898907,abstract,1,Surgical,Therapeutic or Preventive Procedure,small bowel obstruction,Disease or Syndrome,TREATS
15898907,abstract,1,small bowel obstruction,Disease or Syndrome,patients,Human,PROCESS_OF
15898907,abstract,1,gastric outlet obstruction,Disease or Syndrome,patients,Human,PROCESS_OF
15898907,abstract,1,bypass surgery,Therapeutic or Preventive Procedure,malignancy,Neoplastic Process,TREATS
15898907,abstract,1,resection,Therapeutic or Preventive Procedure,malignancy,Neoplastic Process,TREATS
15898907,abstract,1,bypass surgery,Therapeutic or Preventive Procedure,patients,Human,ADMINISTERED_TO
15898907,abstract,1,resection,Therapeutic or Preventive Procedure,patients,Human,ADMINISTERED_TO
15898907,abstract,2,surgery,Therapeutic or Preventive Procedure,complications,Pathologic Function,TREATS
15912426,title,1,tumor,Neoplastic Process,rat,Mammal,PROCESS_OF
15912426,title,1,2-deoxy-2-[F-18]fluoro-D-glucose,Diagnostic Procedure,gamma camera imaging,"Indicator, Reagent, or Diagnostic Aid",USES
15912426,title,1,follow-up,Health Care Activity,gamma camera imaging,Diagnostic Procedure,USES
15912426,abstract,2,injection,Therapeutic or Preventive Procedure,FDG,Organic Chemical,USES
15912426,abstract,2,tumor,Neoplastic Process,animal tumor models,Animal,PROCESS_OF
15912426,abstract,2,osteosarcoma,Neoplastic Process,tumor,Neoplastic Process,ISA
15912426,abstract,2,melanoma,Neoplastic Process,tumor,Neoplastic Process,ISA
15912426,abstract,2,breast cancer,Neoplastic Process,tumor,Neoplastic Process,ISA
15912426,abstract,2,osteosarcoma,Neoplastic Process,animal tumor models,Animal,PROCESS_OF
15912426,abstract,2,melanoma,Neoplastic Process,animal tumor models,Animal,PROCESS_OF
15912426,abstract,2,breast cancer,Neoplastic Process,animal tumor models,Animal,PROCESS_OF
15913690,abstract,4,Histological evaluation,Laboratory Procedure,dermal hemorrhage,Disease or Syndrome,DIAGNOSES
15918623,title,1,soft tissue,Tissue,Malignant smooth muscle tumours,Neoplastic Process,LOCATION_OF
15918623,title,1,tertiary care hospital,Health Care Related Organization,study,Research Activity,LOCATION_OF
15918623,abstract,23,extremities,"Body Part, Organ, or Organ Component",LMS,Neoplastic Process,LOCATION_OF
15918623,abstract,23,trunk,"Body Part, Organ, or Organ Component",LMS,Neoplastic Process,LOCATION_OF
15918623,abstract,23,LMS,Neoplastic Process,females,Human,PROCESS_OF
15919667,abstract,3,UDP-Glc,Biologically Active Substance,proteoglycans,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15919667,abstract,3,UDP-Glc,Biologically Active Substance,glycoproteins,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15919667,abstract,3,UDP-Glc,Biologically Active Substance,glycosphingolipids,Lipid,INTERACTS_WITH
15919667,abstract,3,gly-coconjugates,Carbohydrate,PLC,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15919667,abstract,4,PLC,"Amino Acid, Peptide, or Protein",Cp,Bacterium,PART_OF
15919667,abstract,4,Cp-PLC,"Amino Acid, Peptide, or Protein",cell line,Cell,AFFECTS
15919667,abstract,4,gangliosides,Biologically Active Substance,cell line,Cell,PART_OF
15919667,abstract,6,C. perfringens,Bacterium,sialidase,"Amino Acid, Peptide, or Protein",LOCATION_OF
15919667,abstract,6,sialidase,"Amino Acid, Peptide, or Protein",sialic acids,Carbohydrate,INHIBITS
15919667,abstract,6,PLC,"Amino Acid, Peptide, or Protein",cultured cells,Cell,AFFECTS
15919667,abstract,6,sialidase,"Amino Acid, Peptide, or Protein",cultured cells,Cell,AFFECTS
15919667,abstract,6,C. perfringens,Bacterium,sialidase,"Amino Acid, Peptide, or Protein",LOCATION_OF
15919667,abstract,6,Cp,Bacterium,PLC,"Amino Acid, Peptide, or Protein",LOCATION_OF
15919667,abstract,6,Cp,Bacterium,PLC,"Amino Acid, Peptide, or Protein",LOCATION_OF
15919667,abstract,6,mice,Mammal,PLC,"Amino Acid, Peptide, or Protein",LOCATION_OF
15919838,abstract,3,serum,Body Substance,VAP-1,"Amino Acid, Peptide, or Protein",LOCATION_OF
15919838,abstract,3,obese,Disease or Syndrome,subjects,Human,PROCESS_OF
15919838,abstract,3,VAP-1,"Amino Acid, Peptide, or Protein",subjects,Human,PART_OF
15925552,title,1,plasma,Body Substance,quercetin,Organic Chemical,LOCATION_OF
15925552,title,1,urine,Body Substance,quercetin,Organic Chemical,LOCATION_OF
15925552,title,1,plasma,Body Substance,metabolites,Biologically Active Substance,LOCATION_OF
15925552,title,1,urine,Body Substance,metabolites,Biologically Active Substance,LOCATION_OF
15925552,title,1,plasma,Body Substance,human,Human,PART_OF
15925552,title,1,urine,Body Substance,human,Human,PART_OF
15927218,abstract,1,Neurocysticercosis,Disease or Syndrome,neurological disease,Disease or Syndrome,CAUSES
15927218,abstract,2,ELISA,Laboratory Procedure,glycoproteins,"Amino Acid, Peptide, or Protein",USES
15927218,abstract,2,immunoblotting,Laboratory Procedure,glycoproteins,"Amino Acid, Peptide, or Protein",USES
15927218,abstract,2,cysticercosis,Disease or Syndrome,human,Human,PROCESS_OF
15927218,abstract,2,ELISA,Laboratory Procedure,cysticercosis,Disease or Syndrome,DIAGNOSES
15927218,abstract,2,immunoblotting,Laboratory Procedure,cysticercosis,Disease or Syndrome,DIAGNOSES
15927218,abstract,2,isoelectric focusing,Laboratory Procedure,immunoblotting,Laboratory Procedure,METHOD_OF
15927218,abstract,2,isoelectric focusing,Laboratory Procedure,ELISA,Laboratory Procedure,METHOD_OF
15927218,abstract,3,NCC,Disease or Syndrome,inpatients,Human,PROCESS_OF
15927218,abstract,3,NCC,Disease or Syndrome,outpatients,Patient or Disabled Group,PROCESS_OF
15927218,abstract,3,City Hospital,Health Care Related Organization,inpatients,Human,LOCATION_OF
15927218,abstract,3,City Hospital,Health Care Related Organization,outpatients,Patient or Disabled Group,LOCATION_OF
15927218,abstract,3,Inner Mongolia,Geographic Area,residents,Population Group,LOCATION_OF
15927218,abstract,8,cysticercosis,Disease or Syndrome,patients,Human,PROCESS_OF
15927218,abstract,8,ELISA,Laboratory Procedure,cysticercosis,Disease or Syndrome,DIAGNOSES
15927218,abstract,8,immunoblotting,Laboratory Procedure,cysticercosis,Disease or Syndrome,DIAGNOSES
15935823,abstract,3,benzene exposure,Finding,workers,Human,PROCESS_OF
15943571,abstract,1,HIV-1,Virus,viremia,Disease or Syndrome,CAUSES
15943571,abstract,1,T cell immunity,Organism Function,viremia,Disease or Syndrome,AFFECTS
15943571,abstract,1,poxvirus,Virus,T cell immunity,Organism Function,AUGMENTS
15943571,abstract,1,T cell immunity,Organism Function,primates,Mammal,PROCESS_OF
15943571,abstract,1,genes,Gene or Genome,HIV-1,Virus,PART_OF
15943571,abstract,1,genes,Gene or Genome,DNA,Biologically Active Substance,PART_OF
15943707,abstract,2,donors,Pharmacologic Substance,dexamethasone,Human,ADMINISTERED_TO
15943707,abstract,2,rHuG-CSF,Pharmacologic Substance,donors,Human,ADMINISTERED_TO
15946936,title,1,tetraspanins,"Amino Acid, Peptide, or Protein",cell surface,Cell Component,PART_OF
15946936,title,1,BAP31,Gene or Genome,tetraspanins,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15946936,title,1,integrin,"Amino Acid, Peptide, or Protein",cell survival,Cell Function,AFFECTS
15946936,title,1,BAP31,Gene or Genome,cell survival,Cell Function,AFFECTS
15946936,title,1,caspase cleavage product,"Amino Acid, Peptide, or Protein",cell survival,Cell Function,AFFECTS
15946936,title,1,caspase cleavage product,"Amino Acid, Peptide, or Protein",tetraspanins,"Amino Acid, Peptide, or Protein",INTERACTS_WITH
15946936,abstract,2,tetraspanins,"Amino Acid, Peptide, or Protein",cell surface,Cell Component,PART_OF
15946936,abstract,2,tetraspanins,"Amino Acid, Peptide, or Protein",CD9,"Amino Acid, Peptide, or Protein",ISA
15946936,abstract,2,tetraspanins,"Amino Acid, Peptide, or Protein",CD81,"Amino Acid, Peptide, or Protein",ISA
15946936,abstract,2,cells,Cell,mouse,Mammal,PART_OF
15946936,abstract,2,cells,Cell,Bap31 gene,Gene or Genome,LOCATION_OF
15946936,abstract,2,cell surface,Gene or Genome,CD9,Cell Component,PART_OF
15946936,abstract,2,cell surface,Gene or Genome,CD9,Cell Component,PART_OF
15948171,abstract,2,predictive genetic testing,Diagnostic Procedure,hereditary nonpolyposis colorectal carcinoma (HNPCC),Neoplastic Process,DIAGNOSES
15948171,abstract,2,hereditary nonpolyposis colorectal carcinoma (HNPCC),Neoplastic Process,cohort,Human,PROCESS_OF
15948171,abstract,2,predictive genetic testing,Diagnostic Procedure,screening,Health Care Activity,PRECEDES
15953327,abstract,13,Infective endocarditis,Disease or Syndrome,illness,Finding,ISA
15953327,abstract,13,illness,Finding,children,Human,PROCESS_OF
15953327,abstract,13,Infective endocarditis,Disease or Syndrome,children,Human,PROCESS_OF
15953529,title,1,mouse vestibular epithelia,Body Substance,vestibular,"Body Part, Organ, or Organ Component",PART_OF
15953529,title,1,cell-cell junctions,Body Space or Junction,mouse vestibular epithelia,Body Substance,PART_OF
15953529,title,1,treatment,Therapeutic or Preventive Procedure,aminoglycoside,Pharmacologic Substance,USES
15953529,abstract,7,epithelia,Tissue,vestibular,"Body Part, Organ, or Organ Component",PART_OF
15953529,abstract,7,vestibular,"Body Part, Organ, or Organ Component",mammalian,Mammal,PART_OF
15953529,abstract,7,epithelia,Tissue,cell proliferations,Cell Function,LOCATION_OF
15956296,abstract,12,brine,Inorganic Chemical,salt,Inorganic Chemical,INTERACTS_WITH
15958124,abstract,1,Guillain-Barre syndrome,Disease or Syndrome,immune-mediated disorders,Disease or Syndrome,ISA
15958124,abstract,1,CIDP,Disease or Syndrome,immune-mediated disorders,Disease or Syndrome,ISA
15958124,abstract,2,Infections,Disease or Syndrome,GBS,Disease or Syndrome,CAUSES
15958124,abstract,2,Infections,Disease or Syndrome,CIDP,Disease or Syndrome,AUGMENTS
15958928,abstract,1,headaches,Sign or Symptom,employees,Human,PROCESS_OF
15958928,abstract,1,vomiting,Sign or Symptom,employees,Human,PROCESS_OF
15958928,abstract,1,nausea,Sign or Symptom,employees,Human,PROCESS_OF
15958928,abstract,1,chemical poisoning,Injury or Poisoning,headaches,Sign or Symptom,CAUSES
15958928,abstract,1,chemical poisoning,Injury or Poisoning,vomiting,Sign or Symptom,CAUSES
15958928,abstract,1,chemical poisoning,Injury or Poisoning,nausea,Sign or Symptom,CAUSES
15969273,abstract,4,disabilities,Pathologic Function,children,Human,PROCESS_OF
15969273,abstract,4,performance,Individual Behavior,mothers,Human,PROCESS_OF
15972039,abstract,1,surgical treatment,Therapeutic or Preventive Procedure,Graves' disease,Disease or Syndrome,TREATS
15972039,abstract,1,Total thyroidectomy,Therapeutic or Preventive Procedure,patients,Human,TREATS
15972621,abstract,1,working memory,Mental Process,cognitive functions,Mental Process,ISA
15974085,abstract,3,hexylamine,Organic Chemical,amines,Organic Chemical,ISA
15974085,abstract,3,octylamine,Organic Chemical,amines,Organic Chemical,ISA
15975940,abstract,6,Chordin,"Amino Acid, Peptide, or Protein",signaling molecules,Biologically Active Substance,ISA
15975940,abstract,6,Noggin,Gene or Genome,signaling molecules,Biologically Active Substance,ISA
15975940,abstract,6,Xnr6,"Amino Acid, Peptide, or Protein",signaling molecules,Biologically Active Substance,ISA
15975940,abstract,6,Cerberus,"Amino Acid, Peptide, or Protein",signaling molecules,Biologically Active Substance,ISA
15980893,title,1,DNA,"Nucleic Acid, Nucleoside, or Nucleotide",Selenomonas ruminantium,Bacterium,PART_OF
15982867,title,1,hepatoblastoma,Neoplastic Process,tumours,Neoplastic Process,ISA
15982867,abstract,4,growth,Organism Function,hepatic tumours,Neoplastic Process,AFFECTS
15988072,abstract,5,antibiotic prophylaxis,Therapeutic or Preventive Procedure,infection,Disease or Syndrome,PREVENTS
15989002,abstract,6,CAPS,Disease or Syndrome,patients,Human,PROCESS_OF
15989002,abstract,6,CAPS,Disease or Syndrome,patients,Human,PROCESS_OF
