docid,section,sentenceid_gold,subject_text_gold,subject_type_gold,object_text_gold,object_type_gold,relation_gold,trigger_text_gold,sub_norm,obj_norm,sentenceid_model,subject_text_model,subject_type_model,object_text_model,object_type_model,relation_model,trigger_text_model,_merge
16230392,abstract,2,EP2,Gene or Genome,tumorigenesis,Neoplastic Process,ASSOCIATED_WITH,role,ep2,tumorigenesis,2,EP2,Gene or Genome,tumorigenesis,Neoplastic Process,AFFECTS,,both
16243512,abstract,4,beta-amyloid,"Amino Acid, Peptide, or Protein",Alzheimer's disease,Disease or Syndrome,CAUSES,implicated,amyloid,alzheimers disease,4,amyloid,"Amino Acid, Peptide, or Protein",Alzheimer's       disease,Disease or Syndrome,AFFECTS,,both
16372914,abstract,2,oncofetal antigen,"Amino Acid, Peptide, or Protein",malignancies,Neoplastic Process,PART_OF,expressed,oncofetal antigen,malignancies,2,oncofetal antigen,"Amino Acid, Peptide, or Protein",malignancies,Neoplastic Process,ASSOCIATED_WITH,,both
16394795,abstract,12,proctitis,Disease or Syndrome,constipation,Sign or Symptom,MANIFESTATION_OF,characterized,proctitis,constipation,12,proctitis,Disease or Syndrome,constipation,Sign or Symptom,COEXISTS_WITH,,both
16411522,abstract,8,operation,Therapeutic or Preventive Procedure,patients,Patient or Disabled Group,ADMINISTERED_TO,underwent,operation,patients,8,operation,Therapeutic or Preventive Procedure,patients,Patient or Disabled Group,TREATS,,both
16412044,title,1,synthetic peptide,"Amino Acid, Peptide, or Protein",rats,Mammal,ADMINISTERED_TO,immunization,synthetic peptide,rats,1,synthetic peptide,"Amino Acid, Peptide, or Protein",rats,Mammal,PART_OF,,both
16418362,abstract,6,deep-brain stimulation,Therapeutic or Preventive Procedure,patients,Human,ADMINISTERED_TO,undergoing,deep-brain stimulation,patients,6,deep-brain stimulation,Therapeutic or Preventive Procedure,patients,Patient or Disabled Group,TREATS,,both
16436670,abstract,5,IFN-alpha,"Amino Acid, Peptide, or Protein",GTPase,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,regulation,ifn,gtpase,5,IFN-alpha,"Amino Acid, Peptide, or Protein",GTPase,Gene or Genome,STIMULATES,,both
16462770,abstract,11,cell death,Cell Function,NSCLC,Neoplastic Process,COEXISTS_WITH,in,cell death,nsclc,11,cell death,Cell Function,NSCLC,Neoplastic Process,PROCESS_OF,,both
16503761,abstract,7,TZDs,Pharmacologic Substance,ovulation,Organ or Tissue Function,AUGMENTS,improved,tzds,ovulation,7,TZDs,Organic Chemical,ovulation,Organ or Tissue Function,AFFECTS,,both
16513142,abstract,3,repetitive sequences,Nucleotide Sequence,minisatellites,"Nucleic Acid, Nucleoside, or Nucleotide",PART_OF,in,repetitive sequences,minisatellites,3,repetitive sequences,Nucleotide Sequence,minisatellites,Biologically Active Substance,COEXISTS_WITH,,both
16540467,abstract,6,RA,Organic Chemical,transcription,Genetic Function,AFFECTS,dependent,ra,transcription,6,RA,Organic Chemical,transcription,Genetic Function,AUGMENTS,,both
16641628,abstract,6,Treacher Collins syndrome,Congenital Abnormality,patients,Human,PROCESS_OF,with,treacher collins syndrome,patients,6,Treacher Collins syndrome,Congenital Abnormality,patients,Human,PART_OF,,both
16879324,abstract,1,melatonin,Hormone,blood-brain barrier,"Body Part, Organ, or Organ Component",AFFECTS,decrease,melatonin,blood-brain barrier,1,melatonin,Hormone,blood-brain barrier,Organ or Tissue Function,AUGMENTS,,both
16879324,abstract,1,melatonin,Hormone,blood-brain barrier,Organ or Tissue Function,AFFECTS,decreases the late (24 hr) increase in,melatonin,blood-brain barrier,1,melatonin,Hormone,blood-brain barrier,Organ or Tissue Function,AUGMENTS,,both
16902165,abstract,3,EPC,Cell,patients,Human,PART_OF,in,epc,patients,3,EPC,Pharmacologic Substance,patients,Patient or Disabled Group,TREATS,,both
17135279,abstract,9,DYRK1A,Gene or Genome,tau,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,bridging,dyrk1a,tau,9,DYRK1A,Gene or Genome,tau,"Amino Acid, Peptide, or Protein",PRODUCES,,both
17135279,abstract,9,DYRK1A,Gene or Genome,beta-amyloid,"Amino Acid, Peptide, or Protein",INTERACTS_WITH,bridging,dyrk1a,amyloid,9,DYRK1A,Gene or Genome,amyloid,"Amino Acid, Peptide, or Protein",PRODUCES,,both
